InternalName,卡牌名称,胜率,选取率,略过率
Patter,星星点点,53.3,9.3,90.7
SevenStars,七星,52.6,30.9,69.1
Glimmer,微光,52.3,27.5,72.5
ChildOfTheStars,群星之子,52.2,36.0,64.0
MakeItSo,如此甚好,52.2,25.3,74.7
InfernalBlade,地狱之刃,40.1,20.3,79.7
PrimalForce,原始力量,39.9,18.1,81.9
Uppercut,上勾拳,39.4,14.0,86.0
PerfectedStrike,完美打击,38.8,20.4,79.6
TwinStrike,双重打击,38.8,9.8,90.2
Unrelenting,无情猛攻,38.6,16.8,83.2
Thunderclap,闪电霹雳,38.1,13.0,87.0
Hemokinesis,御血术,37.1,12.5,87.5
Dismantle,拆卸,36.7,29.6,70.4
Grapple,擒拿,35.8,8.9,91.1
Putrefy,腐败,54.4,17.1,82.9
Pagestorm,书页风暴,54.1,11.9,88.1
CaptureSpirit,捕捉灵魂,53.6,42.6,57.4
Haunt,纠缠,53.4,28.2,71.8
Misery,苦难,53.2,29.9,70.1
Calcify,钙化,53.1,11.1,88.9
Undeath,不死,53.1,29.1,70.9
Sacrifice,牺牲,53.1,13.4,86.6
SculptingStrike,雕琢打击,53.1,7.1,92.9
CallOfTheVoid,虚空之唤,52.7,33.3,66.7
Storm,雷暴,52.1,27.8,72.2
Tempest,暴风雨,52.1,23.5,76.5
Ftl,超越光速,51.9,16.4,83.6
BootSequence,启动流程,51.8,29.1,70.9
Feral,野性,51.8,14.1,85.9
Coolheaded,冷静头脑,51.8,35.3,64.7
GeneticAlgorithm,遗传算法,51.7,23.4,76.6
Null,空无,51.5,7.9,92.1
GoForTheEyes,眼部攻击,51.2,13.7,86.3
Rainbow,彩虹,51.1,24.0,76.0
Synchronize,同步,50.6,20.8,79.2
Scrawl,潦草急就,82.6,1.0,99.0
Anointed,天选,79.6,0.2,99.8
BeaconOfHope,希望灯塔,77.0,3.8,96.2
BeatDown,狠揍,74.6,0.2,99.8
Knockdown,击倒,74.0,1.0,99.0
MasterOfStrategy,战略大师,73.6,1.3,98.7
Calamity,灾祸,72.0,0.1,99.9
Nostalgia,怀旧,71.2,0.4,99.6
SecretTechnique,秘密技法,70.7,0.7,99.3
EternalArmor,永恒铠甲,70.7,0.1,99.9
Rend,撕碎,70.6,0.1,99.9
Flechettes,飞镖,48.0,6.9,93.1
Backstab,背刺,48.0,21.3,78.7
EchoingSlash,回响斩击,47.6,19.0,81.0
FollowThrough,跟进,46.6,10.2,89.8
Predator,猎杀者,45.9,7.2,92.8
BouncingFlask,弹跳药瓶,45.8,16.1,83.9
FlickFlack,翻越撑击,45.3,14.5,85.5
Dash,冲刺,43.6,7.4,92.6
PreciseCut,精确切击,43.4,8.4,91.6
DodgeAndRoll,闪躲翻滚,43.0,3.4,96.6
LeadingStrike,先制打击,42.4,10.2,89.8
Void,虚空,20.0,0,0
Wound,伤口,16.7,0,0.0
PoorSleep,睡眠不佳,15.1,0,0.0
Normality,凡庸,13.6,0,0.0
LanternKey,灯火钥匙,2.3,92.2,7.8
Guilty,愧疚,0.9,0,0.0
ByrdonisEgg,多尼斯异鸟蛋,0.7,0.0,0.0
SpoilsMap,藏宝图,0.3,0,0.0
DeprecatedCard,弃用卡牌,0.0,0,0.0
Disintegration,瓦解,0.0,0,0.0
GiantRock,巨石,0.0,0,0.0
Purity,净化,63.0,3.8,96.2
Entropy,熵,62.9,0.4,99.6
Salvo,箭雨,62.5,0.3,99.7
GoldAxe,金斧,61.6,0.5,99.5
Splash,飞溅,61.3,2.2,97.8
BelieveInYou,相信着你,60.7,11.2,88.8
ThinkingAhead,深谋远虑,60.2,3.0,97.0
Equilibrium,均衡,60.0,1.3,98.7
Impatience,急躁,59.9,2.1,97.9
Bolas,流星锤,59.6,0.3,99.7
FlashOfSteel,亮剑,59.6,4.3,95.7
KnifeTrap,刀刃陷阱,66.5,30.9,69.1
CorrosiveWave,腐蚀波,66.1,48.1,51.9
Reflex,本能反应,65.5,51.6,48.4
HiddenDaggers,隐秘匕首,63.3,34.8,65.2
Malaise,萎靡,62.4,13.0,87.0
Accelerant,触媒,62.1,34.2,65.8
CalculatedGamble,计算下注,62.1,50.1,49.9
Assassinate,刺杀,61.9,28.1,71.9
SerpentForm,群蛇形态,61.9,25.2,74.8
